GAME_DATE_EST,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,PTS_home,PTS_away,point_total,point_average_last10,point_againts_average_last10,away_point_average_last10,away_point_againts_average_last10
2018-03-31,1610612748,1610612751,2017,109.0,110.0,219.0,111.19999999999999,108.0,110.35,114.75
2018-03-31,1610612758,1610612744,2017,96.0,112.0,208.0,101.05000000000001,105.55000000000001,108.35,106.3
2018-03-30,1610612753,1610612741,2017,82.0,90.0,172.0,101.1,107.3,101.9,112.8
2018-03-30,1610612737,1610612755,2017,91.0,101.0,192.0,104.65,112.85,112.4,105.15
2018-03-30,1610612739,1610612740,2017,107.0,102.0,209.0,113.69999999999999,111.6,110.9,109.69999999999999
2018-03-30,1610612745,1610612756,2017,104.0,103.0,207.0,111.0,99.75,102.5,117.05
2018-03-30,1610612760,1610612743,2017,125.0,126.0,251.0,109.85,107.15,116.4,113.25
2018-03-30,1610612742,1610612750,2017,92.0,93.0,185.0,105.6,108.55,112.55,113.5
2018-03-30,1610612762,1610612763,2017,107.0,97.0,204.0,104.6,95.30000000000001,98.75,110.45
2018-03-30,1610612747,1610612749,2017,122.0,124.0,246.0,111.5,106.05000000000001,111.25,112.05
2018-03-30,1610612757,1610612746,2017,105.0,96.0,201.0,108.30000000000001,101.25,112.9,110.2
2018-03-29,1610612765,1610612764,2017,103.0,92.0,195.0,102.7,104.75,106.6,106.2
2018-03-29,1610612748,1610612741,2017,103.0,92.0,195.0,111.8,107.85,102.19999999999999,112.85
2018-03-29,1610612759,1610612760,2017,103.0,99.0,202.0,105.9,105.35,108.95,107.3
2018-03-29,1610612758,1610612754,2017,103.0,106.0,209.0,101.7,105.80000000000001,102.9,100.25
2018-03-29,1610612744,1610612749,2017,107.0,116.0,223.0,109.45,104.65,109.7,111.25
2018-03-28,1610612766,1610612739,2017,105.0,118.0,223.0,114.0,112.19999999999999,113.8,111.94999999999999
2018-03-28,1610612753,1610612751,2017,104.0,111.0,215.0,101.0,106.94999999999999,109.55,115.1
2018-03-28,1610612755,1610612752,2017,118.0,101.0,219.0,111.9,104.69999999999999,106.55,114.19999999999999
2018-03-28,1610612763,1610612757,2017,108.0,103.0,211.0,97.75,109.9,108.4,102.35
2018-03-28,1610612750,1610612737,2017,126.0,114.0,240.0,112.15,113.15,103.55000000000001,111.4
2018-03-28,1610612762,1610612738,2017,94.0,97.0,191.0,105.25,95.30000000000001,107.7,104.45
2018-03-28,1610612756,1610612746,2017,99.0,111.0,210.0,103.05000000000001,117.25,113.7,111.95
2018-03-28,1610612747,1610612742,2017,103.0,93.0,196.0,112.69999999999999,106.75,106.1,109.45
2018-03-27,1610612764,1610612759,2017,116.0,106.0,222.0,106.05000000000001,107.0,107.05,103.6
2018-03-27,1610612761,1610612743,2017,114.0,110.0,224.0,115.19999999999999,107.05000000000001,117.6,113.7
2018-03-27,1610612748,1610612739,2017,98.0,79.0,177.0,111.44999999999999,108.15,115.9,112.0
2018-03-27,1610612745,1610612741,2017,118.0,86.0,204.0,111.6,100.65,103.05,112.6
2018-03-27,1610612740,1610612757,2017,103.0,107.0,210.0,111.95,110.5,108.25,102.0
2018-03-27,1610612758,1610612742,2017,97.0,103.0,200.0,101.85,106.55000000000001,106.0,109.8
2018-03-27,1610612744,1610612754,2017,81.0,92.0,173.0,111.5,105.3,103.15,100.75
2018-03-27,1610612746,1610612749,2017,105.0,98.0,203.0,113.25,112.25,109.95,110.44999999999999
2018-03-26,1610612766,1610612752,2017,137.0,128.0,265.0,113.2,111.3,104.55,113.0
2018-03-26,1610612765,1610612747,2017,112.0,106.0,218.0,102.65,104.0,112.94999999999999,107.1
2018-03-26,1610612755,1610612743,2017,123.0,104.0,227.0,111.35,104.4,118.55000000000001,113.2
2018-03-26,1610612750,1610612763,2017,93.0,101.0,194.0,112.9,112.55,97.3,110.75
2018-03-26,1610612756,1610612738,2017,94.0,102.0,196.0,103.2,118.6,108.1,104.95
2018-03-25,1610612751,1610612739,2017,114.0,121.0,235.0,109.5,115.19999999999999,116.0,111.65
2018-03-25,1610612749,1610612759,2017,106.0,103.0,209.0,109.5,109.9,107.3,102.55
2018-03-25,1610612754,1610612748,2017,113.0,107.0,220.0,102.5,100.0,110.94999999999999,107.65
2018-03-25,1610612761,1610612746,2017,106.0,117.0,223.0,115.55,105.6,113.85,112.9
2018-03-25,1610612764,1610612752,2017,97.0,101.0,198.0,106.4,107.45,104.0,112.75
2018-03-25,1610612758,1610612738,2017,93.0,104.0,197.0,102.6,107.0,107.45,105.85
2018-03-25,1610612760,1610612757,2017,105.0,108.0,213.0,108.9,107.3,108.2,101.4
2018-03-25,1610612745,1610612737,2017,118.0,99.0,217.0,111.4,101.05000000000001,103.5,110.5
2018-03-25,1610612744,1610612762,2017,91.0,110.0,201.0,113.0,104.95,105.75,96.30000000000001
2018-03-24,1610612755,1610612750,2017,120.0,108.0,228.0,110.35,103.1,112.7,112.0
2018-03-24,1610612765,1610612741,2017,117.0,95.0,212.0,102.35,104.6,103.69999999999999,112.94999999999999
2018-03-24,1610612753,1610612756,2017,105.0,99.0,204.0,100.94999999999999,107.55,102.4,119.80000000000001
2018-03-24,1610612745,1610612740,2017,114.0,91.0,205.0,111.35,101.6,112.75,110.7
2018-03-24,1610612763,1610612747,2017,93.0,100.0,193.0,98.65,111.19999999999999,113.8,109.4
2018-03-24,1610612742,1610612766,2017,98.0,102.0,200.0,105.5,109.44999999999999,113.30000000000001,111.5
2018-03-23,1610612754,1610612746,2017,109.0,104.0,213.0,102.3,99.85,114.35,112.5
2018-03-23,1610612764,1610612743,2017,100.0,108.0,208.0,107.5,108.0,118.35,114.7
2018-03-23,1610612739,1610612756,2017,120.0,95.0,215.0,114.4,112.9,102.30000000000001,119.4
2018-03-23,1610612752,1610612750,2017,104.0,108.0,212.0,103.6,112.30000000000001,112.30000000000001,112.05
2018-03-23,1610612761,1610612751,2017,116.0,112.0,228.0,115.3,104.55000000000001,108.75,114.94999999999999
2018-03-23,1610612741,1610612749,2017,105.0,118.0,223.0,102.94999999999999,112.1,109.05,109.35
2018-03-23,1610612760,1610612748,2017,105.0,99.0,204.0,108.65,108.05,110.44999999999999,106.95
2018-03-23,1610612759,1610612762,2017,124.0,120.0,244.0,105.65,101.65,106.19999999999999,94.95
2018-03-23,1610612757,1610612738,2017,100.0,105.0,205.0,109.35,102.0,107.75,106.35
2018-03-23,1610612744,1610612737,2017,106.0,94.0,200.0,112.95,106.5,103.75,110.0
2018-03-22,1610612766,1610612763,2017,140.0,79.0,219.0,111.1,112.6,98.80000000000001,109.6
2018-03-22,1610612753,1610612755,2017,98.0,118.0,216.0,101.05,106.55,109.05,103.2
2018-03-22,1610612745,1610612765,2017,100.0,96.0,196.0,111.3,101.30000000000001,102.45,105.30000000000001
2018-03-22,1610612740,1610612747,2017,128.0,125.0,253.0,113.3,110.3,113.69999999999999,109.5
2018-03-22,1610612742,1610612762,2017,112.0,119.0,231.0,104.55000000000001,108.85,105.1,94.0
2018-03-22,1610612758,1610612737,2017,105.0,90.0,195.0,102.7,108.0,104.75,110.69999999999999
2018-03-21,1610612739,1610612761,2017,132.0,129.0,261.0,112.35,110.9,114.8,104.05000000000001
2018-03-21,1610612755,1610612763,2017,119.0,105.0,224.0,108.85,103.05,97.85,108.69999999999999
2018-03-21,1610612751,1610612766,2017,105.0,111.0,216.0,108.2,114.85,110.25,112.65
2018-03-21,1610612748,1610612752,2017,119.0,98.0,217.0,109.55,107.5,102.35,111.5
2018-03-21,1610612740,1610612754,2017,96.0,92.0,188.0,113.94999999999999,112.35,104.0,101.69999999999999
2018-03-21,1610612741,1610612743,2017,102.0,135.0,237.0,103.55,111.0,116.80000000000001,114.9
2018-03-21,1610612749,1610612746,2017,120.0,127.0,247.0,107.65,107.5,112.9,112.1
2018-03-21,1610612759,1610612764,2017,98.0,90.0,188.0,106.05,102.35,108.75,108.0
2018-03-20,1610612753,1610612761,2017,86.0,93.0,179.0,102.55,106.8,115.55,104.4
2018-03-20,1610612738,1610612760,2017,100.0,99.0,199.0,107.9,105.05000000000001,109.94999999999999,108.3
2018-03-20,1610612750,1610612746,2017,123.0,109.0,232.0,111.7,111.45,112.85,110.69999999999999
2018-03-20,1610612740,1610612742,2017,115.0,105.0,220.0,113.35,112.8,104.6,108.05
2018-03-20,1610612762,1610612737,2017,94.0,99.0,193.0,105.45,94.0,105.30000000000001,112.05
2018-03-20,1610612756,1610612765,2017,88.0,115.0,203.0,103.0,118.05,102.45,106.80000000000001
2018-03-20,1610612757,1610612745,2017,111.0,115.0,226.0,108.6,102.0,111.85,101.15
2018-03-19,1610612739,1610612749,2017,124.0,117.0,241.0,112.2,110.25,106.25,106.69999999999999
2018-03-19,1610612754,1610612747,2017,110.0,100.0,210.0,103.75,101.5,114.1,109.19999999999999
2018-03-19,1610612755,1610612766,2017,108.0,94.0,202.0,108.6,103.2,110.69999999999999,112.7
2018-03-19,1610612751,1610612763,2017,118.0,115.0,233.0,107.25,114.19999999999999,97.2,108.0
2018-03-19,1610612748,1610612743,2017,149.0,141.0,290.0,107.55,106.0,114.95,112.9
2018-03-19,1610612752,1610612741,2017,110.0,92.0,202.0,102.4,111.65,104.0,111.25
2018-03-19,1610612759,1610612744,2017,89.0,75.0,164.0,107.25,103.5,114.15,108.5
2018-03-19,1610612758,1610612765,2017,90.0,106.0,196.0,103.2,108.6,102.35,108.35
2018-03-18,1610612761,1610612760,2017,125.0,132.0,257.0,114.35,102.1,109.55,108.4
2018-03-18,1610612740,1610612738,2017,108.0,89.0,197.0,113.1,113.95,108.7,105.1
2018-03-18,1610612750,1610612745,2017,120.0,129.0,249.0,111.45,110.45,110.85,100.2
2018-03-18,1610612746,1610612757,2017,109.0,122.0,231.0,112.5,110.25,107.55,101.75
