,GAME_DATE_EST,game_id,home_team,away_team,SEASON,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS,book_name_over,book_id_over,total1_over,over_odds,PTS_comb_actual,book_name_under,book_id_under,total1_under,under_odds,point_average_last10,point_against_average_last10,away_point_average_last10,away_point_against_average_last10,over_successful,under_successful
340,12/18/2017,21700450,1610612747,1610612744,2017,114,0.446,0.629,0.4,23,45,116,0.402,0.905,0.324,25,61,0,Heritage,169,219.0,-105,230,5Dimes,19,219.0,-103,107.3,109.0,114.4,103.35,1,0
341,12/18/2017,21700448,1610612742,1610612756,2017,91,0.364,0.941,0.297,21,42,97,0.443,0.773,0.4,17,49,0,Pinnacle Sports,238,209.0,-106,188,Heritage,169,209.5,-105,100.6,100.95,106.7,113.15,0,1
342,12/18/2017,21700446,1610612750,1610612757,2017,108,0.462,0.81,0.368,19,32,107,0.548,1.0,0.417,26,40,1,5Dimes,19,207.5,-103,215,Pinnacle Sports,238,207.5,-104,107.05,105.3,100.4,100.25,1,0
343,12/18/2017,21700449,1610612759,1610612746,2017,109,0.488,0.8,0.375,22,45,91,0.44,0.5,0.31,21,42,1,5Dimes,19,199.5,-103,200,Pinnacle Sports,238,199.5,-105,100.6,97.6,102.65,107.6,1,0
344,12/18/2017,21700444,1610612741,1610612755,2017,117,0.478,0.842,0.464,27,39,115,0.484,0.722,0.424,30,47,1,5Dimes,19,209.5,-107,232,Heritage,169,210.0,-105,99.5,107.75,109.75,109.5,1,0
345,12/18/2017,21700443,1610612737,1610612748,2017,110,0.458,0.839,0.364,25,39,104,0.456,0.833,0.28,19,42,1,Pinnacle Sports,238,201.5,-105,214,5Dimes,19,202.0,-107,104.05,108.05,99.45,102.05,1,0
346,12/18/2017,21700445,1610612745,1610612762,2017,120,0.519,0.852,0.395,25,52,99,0.462,0.875,0.296,17,32,1,5Dimes,19,216.5,-105,219,Heritage,169,217.0,-105,116.65,103.25,104.85,100.2,1,0
347,12/18/2017,21700441,1610612766,1610612752,2017,109,0.489,0.875,0.45,30,47,91,0.419,0.8,0.167,21,37,1,5Dimes,19,206.5,-103,200,Heritage,169,206.5,-105,103.2,106.65,102.35,103.25,0,1
348,12/19/2017,21700453,1610612749,1610612739,2017,119,0.524,0.815,0.379,27,40,116,0.5,0.833,0.39,26,37,1,Pinnacle Sports,238,215.0,-105,235,Pinnacle Sports,238,215.0,-105,104.05,104.35,111.7,103.3,1,0
349,12/19/2017,21700451,1610612755,1610612758,2017,95,0.42,0.708,0.286,21,53,101,0.451,0.522,0.259,21,39,0,Pinnacle Sports,238,207.0,-105,196,5Dimes,19,207.5,-102,109.75,110.0,96.7,105.05,0,1
350,12/19/2017,21700452,1610612764,1610612740,2017,116,0.5,0.714,0.4,29,44,106,0.425,0.825,0.25,20,42,1,Pinnacle Sports,238,216.5,-105,222,5Dimes,19,217.0,-105,102.0,100.75,112.9,114.1,1,0
351,12/20/2017,21700463,1610612757,1610612759,2017,91,0.396,0.643,0.24,18,37,93,0.519,0.833,0.353,17,53,0,5Dimes,19,198.5,-103,184,Pinnacle Sports,238,198.5,-103,101.65,101.35,101.7,97.45,0,1
352,12/20/2017,21700457,1610612751,1610612758,2017,99,0.39,0.87,0.357,15,38,104,0.488,0.85,0.368,14,48,0,5Dimes,19,206.5,-105,203,Pinnacle Sports,238,207.0,-105,103.8,107.1,97.15,104.3,0,1
353,12/20/2017,21700465,1610612746,1610612756,2017,108,0.471,0.667,0.333,22,50,95,0.361,0.895,0.229,22,50,1,5Dimes,19,215.0,-108,203,Pinnacle Sports,238,215.5,-104,101.55,107.15,106.8,112.1,0,1
354,12/20/2017,21700462,1610612743,1610612750,2017,104,0.5,0.792,0.464,27,42,112,0.494,0.947,0.333,28,37,0,5Dimes,19,215.0,-105,216,Pinnacle Sports,238,215.5,100,108.7,107.25,107.6,105.65,1,0
355,12/20/2017,21700464,1610612744,1610612763,2017,97,0.459,0.88,0.333,26,44,84,0.333,0.842,0.387,20,41,1,Heritage,169,204.0,-105,181,Pinnacle Sports,238,205.5,-105,115.8,104.45,95.6,102.3,0,1
356,12/20/2017,21700461,1610612742,1610612765,2017,110,0.533,0.8,0.467,22,37,93,0.429,0.909,0.292,19,38,1,5Dimes,19,197.0,-105,203,Pinnacle Sports,238,197.0,-101,99.95,100.25,102.7,102.4,1,0
357,12/20/2017,21700455,1610612737,1610612754,2017,95,0.432,0.85,0.276,27,43,105,0.488,0.947,0.333,19,37,0,5Dimes,19,213.0,-105,200,Pinnacle Sports,238,213.5,-109,104.2,107.75,107.5,105.9,0,1
358,12/20/2017,21700459,1610612745,1610612747,2017,116,0.411,0.781,0.405,19,47,122,0.471,0.628,0.429,27,47,0,5Dimes,19,225.5,-108,238,Heritage,169,226.5,-105,117.1,103.4,108.4,109.75,1,0
359,12/20/2017,21700458,1610612741,1610612753,2017,112,0.506,0.929,0.344,31,51,94,0.393,0.826,0.185,23,35,1,5Dimes,19,210.0,-103,206,Heritage,169,211.0,-105,100.85,108.7,102.55,111.05,0,1
360,12/20/2017,21700456,1610612738,1610612748,2017,89,0.375,0.762,0.406,18,44,90,0.44,0.56,0.357,23,46,0,Heritage,169,199.5,-105,179,Pinnacle Sports,238,200.0,-103,104.55,101.45,99.5,101.95,0,1
361,12/20/2017,21700454,1610612766,1610612761,2017,111,0.459,0.743,0.304,21,39,129,0.538,0.833,0.485,35,43,0,5Dimes,19,212.0,-105,240,Pinnacle Sports,238,212.0,-102,103.55,106.85,111.6,102.55,1,0
362,12/20/2017,21700460,1610612760,1610612762,2017,107,0.519,0.864,0.348,23,42,79,0.356,0.741,0.226,13,39,1,Pinnacle Sports,238,196.5,-104,186,5Dimes,19,197.0,-105,101.6,101.95,104.75,100.9,0,1
