GAME_DATE_EST,game_id,home_team,away_team,SEASON,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS,book_name_over,book_id_over,total1_over,over_odds,PTS_comb_actual,book_name_under,book_id_under,total1_under,under_odds,point_average_last10,point_againts_average_last10,away_point_average_last10,away_point_againts_average_last10
2017-11-05,21700144,1610612757,1610612760,2017,103.0,0.5,0.7859999999999999,0.35,20.0,44.0,99.0,0.449,0.5329999999999999,0.333,17.0,32.0,1,5Dimes,19,212.0,-103.0,202.0,BetOnline,1096,211.0,105.0,109.35714285714286,101.28571428571428,103.08333333333334,95.35
2017-11-06,21700146,1610612737,1610612738,2017,107.0,0.481,0.8,0.5,24.0,36.0,110.0,0.481,0.818,0.389,28.0,42.0,0,Heritage,169,204.0,-105.0,217.0,5Dimes,19,204.5,-102.0,100.55,106.85,104.16666666666666,93.5625
2017-11-06,21700147,1610612756,1610612751,2017,92.0,0.349,0.743,0.24,13.0,52.0,98.0,0.402,0.69,0.25,20.0,48.0,0,Pinnacle Sports,238,234.0,-104.0,190.0,5Dimes,19,234.0,-103.0,105.66666666666666,115.79166666666666,113.8125,115.425
2017-11-06,21700148,1610612744,1610612748,2017,97.0,0.368,0.917,0.344,20.0,51.0,80.0,0.361,0.706,0.308,19.0,44.0,1,Heritage,169,223.5,-105.0,177.0,Bovada,999996,224.0,-105.0,118.78571428571428,110.57142857142856,100.94444444444446,104.86111111111111
2017-11-07,21700151,1610612764,1610612742,2017,99.0,0.4270000000000001,0.7809999999999999,0.4,21.0,39.0,113.0,0.473,0.8,0.3670000000000001,26.0,53.0,0,5Dimes,19,213.5,-103.0,212.0,Pinnacle Sports,238,214.0,-103.0,111.36904761904762,107.78571428571428,99.34027777777776,104.49305555555556
2017-11-07,21700158,1610612758,1610612760,2017,94.0,0.468,0.917,0.375,21.0,47.0,86.0,0.337,0.7829999999999999,0.27,15.0,44.0,1,Heritage,169,202.5,-105.0,180.0,Bovada,999996,203.0,-105.0,93.3,103.8,102.83333333333334,96.25
2017-11-07,21700156,1610612762,1610612755,2017,97.0,0.303,0.8,0.231,15.0,45.0,104.0,0.42,0.8,0.444,23.0,56.0,0,5Dimes,19,203.5,-102.0,201.0,Heritage,169,204.0,-105.0,102.1904761904762,100.6547619047619,107.71428571428572,108.5
2017-11-07,21700155,1610612743,1610612751,2017,112.0,0.473,0.75,0.265,26.0,47.0,104.0,0.4270000000000001,0.773,0.314,22.0,47.0,1,Pinnacle Sports,238,230.0,-100.0,216.0,Heritage,169,230.5,-105.0,105.44444444444444,105.66666666666669,112.5625,113.04166666666666
2017-11-07,21700157,1610612757,1610612763,2017,97.0,0.444,0.95,0.316,11.0,42.0,98.0,0.479,0.84,0.368,18.0,34.0,0,Bookmaker,93,199.5,-110.0,195.0,Bovada,999996,202.0,-115.0,109.22321428571428,100.97321428571428,102.30555555555554,97.36111111111111
2017-11-07,21700153,1610612761,1610612741,2017,119.0,0.5429999999999999,0.75,0.52,22.0,37.0,114.0,0.5,0.821,0.379,26.0,37.0,1,5Dimes,19,201.0,-105.0,233.0,Heritage,169,201.5,-105.0,109.96666666666668,102.57777777777778,95.71428571428572,102.92857142857144
2017-11-07,21700152,1610612752,1610612766,2017,118.0,0.6,0.762,0.48,29.0,35.0,113.0,0.462,0.8240000000000001,0.405,24.0,40.0,1,5Dimes,19,209.0,-103.0,231.0,Pinnacle Sports,238,209.0,-103.0,100.33333333333334,107.32222222222222,103.67857142857144,104.15178571428572
2017-11-07,21700150,1610612754,1610612740,2017,112.0,0.473,0.833,0.375,19.0,41.0,117.0,0.506,0.682,0.4,23.0,43.0,0,Pinnacle Sports,238,218.5,-105.0,229.0,Heritage,169,219.0,-105.0,107.78344671201812,104.64739229024944,105.56666666666666,108.71111111111112
