GAME_DATE_EST,game_id,home_team,away_team,SEASON,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS,book_name_over,book_id_over,total1_over,over_odds,PTS_comb_actual,book_name_under,book_id_under,total1_under,under_odds,point_average_last10,point_against_average_last10,away_point_average_last10,away_point_against_average_last10,avgpointtotal_home,avgpointtotal_away,meanpointtotal,diff
11/5/2017,21700144,1610612757,1610612760,2017,103,0.5,0.786,0.35,20,44,99,0.449,0.533,0.333,17,32,1,5Dimes,19,212.0,-103,202,BetOnline,1096,211.0,105,109.3571429,101.2857143,103.0833333,95.35,210.64285719999998,198.43333330000002,204.53809525,12.209523899999965
11/6/2017,21700146,1610612737,1610612738,2017,107,0.481,0.8,0.5,24,36,110,0.481,0.818,0.389,28,42,0,Heritage,169,204.0,-105,217,5Dimes,19,204.5,-102,100.55,106.85,104.1666667,93.5625,207.39999999999998,197.7291667,202.56458335,9.67083329999997
11/6/2017,21700147,1610612756,1610612751,2017,92,0.349,0.743,0.24,13,52,98,0.402,0.69,0.25,20,48,0,Pinnacle Sports,238,234.0,-104,190,5Dimes,19,234.0,-103,105.6666667,115.7916667,113.8125,115.425,221.4583334,229.2375,225.34791669999998,-7.779166600000025
11/6/2017,21700148,1610612744,1610612748,2017,97,0.368,0.917,0.344,20,51,80,0.361,0.706,0.308,19,44,1,Heritage,169,223.5,-105,177,Bovada,999996,224.0,-105,118.7857143,110.5714286,100.9444444,104.8611111,229.35714289999999,205.8055555,217.58134919999998,23.55158739999999
11/7/2017,21700151,1610612764,1610612742,2017,99,0.427,0.781,0.4,21,39,113,0.473,0.8,0.367,26,53,0,5Dimes,19,213.5,-103,212,Pinnacle Sports,238,214.0,-103,111.3690476,107.7857143,99.34027778,104.4930556,219.15476189999998,203.83333338,211.49404764,15.321428519999984
11/7/2017,21700158,1610612758,1610612760,2017,94,0.468,0.917,0.375,21,47,86,0.337,0.783,0.27,15,44,1,Heritage,169,202.5,-105,180,Bovada,999996,203.0,-105,93.3,103.8,102.8333333,96.25,197.1,199.0833333,198.09166664999998,-1.9833332999999982
11/7/2017,21700156,1610612762,1610612755,2017,97,0.303,0.8,0.231,15,45,104,0.42,0.8,0.444,23,56,0,5Dimes,19,203.5,-102,201,Heritage,169,204.0,-105,102.1904762,100.6547619,107.7142857,108.5,202.84523810000002,216.2142857,209.5297619,-13.369047599999988
11/7/2017,21700155,1610612743,1610612751,2017,112,0.473,0.75,0.265,26,47,104,0.427,0.773,0.314,22,47,1,Pinnacle Sports,238,230.0,-100,216,Heritage,169,230.5,-105,105.4444444,105.6666667,112.5625,113.0416667,211.1111111,225.6041667,218.35763889999998,-14.49305560000002
11/7/2017,21700157,1610612757,1610612763,2017,97,0.444,0.95,0.316,11,42,98,0.479,0.84,0.368,18,34,0,Bookmaker,93,199.5,-110,195,Bovada,999996,202.0,-115,109.2232143,100.9732143,102.3055556,97.36111111,210.1964286,199.66666671000002,204.931547655,10.529761889999975
11/7/2017,21700153,1610612761,1610612741,2017,119,0.543,0.75,0.52,22,37,114,0.5,0.821,0.379,26,37,1,5Dimes,19,201.0,-105,233,Heritage,169,201.5,-105,109.9666667,102.5777778,95.71428571,102.9285714,212.5444445,198.64285711,205.59365080499998,13.901587390000003
11/7/2017,21700152,1610612752,1610612766,2017,118,0.6,0.762,0.48,29,35,113,0.462,0.824,0.405,24,40,1,5Dimes,19,209.0,-103,231,Pinnacle Sports,238,209.0,-103,100.3333333,107.3222222,103.6785714,104.1517857,207.6555555,207.83035710000001,207.7429563,-0.17480160000002343
11/7/2017,21700150,1610612754,1610612740,2017,112,0.473,0.833,0.375,19,41,117,0.506,0.682,0.4,23,43,0,Pinnacle Sports,238,218.5,-105,229,Heritage,169,219.0,-105,107.7834467,104.6473923,105.5666667,108.7111111,212.430839,214.2777778,213.35430839999998,-1.8469388000000038
11/7/2017,21700149,1610612739,1610612749,2017,124,0.5,0.868,0.5,18,39,119,0.566,0.75,0.433,29,36,1,Bookmaker,93,221.5,100,243,Heritage,169,222.0,-105,106.1944444,110.8888889,102.9166667,107.1071429,217.0833333,210.0238096,213.55357145,7.0595237
11/7/2017,21700154,1610612759,1610612746,2017,120,0.536,0.789,0.536,33,39,107,0.512,0.706,0.367,20,39,1,BetOnline,1096,204.0,-106,227,Pinnacle Sports,238,204.5,-101,101.9553571,99.92857143,106.43,106.36,201.88392853,212.79000000000002,207.336964265,-10.906071470000029
11/8/2017,21700161,1610612738,1610612747,2017,107,0.388,0.774,0.241,20,48,96,0.435,0.739,0.208,16,48,1,5Dimes,19,215.0,-103,203,Pinnacle Sports,238,215.0,-105,104.6111111,94.25,102.1,108.2555556,198.86111110000002,210.3555556,204.60833335,-11.494444499999986
11/8/2017,21700160,1610612753,1610612752,2017,112,0.538,0.591,0.464,31,29,99,0.525,0.769,0.417,26,42,1,5Dimes,19,215.0,-103,211,Heritage,169,215.0,-105,105.25,102.75,100.9,107.55,208.0,208.45,208.225,-0.44999999999998863
11/8/2017,21700159,1610612765,1610612754,2017,114,0.518,0.64,0.444,25,50,97,0.432,0.778,0.292,22,38,1,Pinnacle Sports,238,209.5,-105,211,Bovada,999996,210.0,-105,104.2589286,102.2142857,108.8222222,107.4555556,206.4732143,216.2777778,211.37549604999998,-9.8045635
11/8/2017,21700163,1610612744,1610612750,2017,125,0.565,0.778,0.417,37,45,101,0.413,0.741,0.208,21,41,1,Pinnacle Sports,238,227.0,-101,226,Bovada,999996,228.0,-110,117.8928571,108.5089286,109.5,110.5,226.4017857,220.0,223.20089285,6.401785700000005
11/8/2017,21700162,1610612756,1610612748,2017,115,0.455,0.767,0.414,20,34,126,0.531,0.8,0.4,21,53,0,5Dimes,19,217.0,-102,241,Pinnacle Sports,238,217.0,-105,104.7857143,114.5535714,99.75396825,104.2777778,219.3392857,204.03174604999998,211.685515875,15.307539650000024
11/9/2017,21700164,1610612764,1610612747,2017,111,0.518,0.9,0.333,20,45,95,0.36,0.732,0.13,17,46,1,5Dimes,19,224.0,-103,206,Heritage,169,224.5,-105,110.3571429,107.8571429,104.0,106.5,218.2142858,210.5,214.35714289999999,7.714285799999999
11/9/2017,21700165,1610612761,1610612740,2017,122,0.459,0.696,0.381,27,48,118,0.537,0.68,0.419,31,38,1,5Dimes,19,215.0,-103,240,Pinnacle Sports,238,215.0,-100,110.25,103.6111111,106.35,109.05,213.86111110000002,215.39999999999998,214.63055555,-1.5388888999999608
11/9/2017,21700166,1610612745,1610612739,2017,117,0.468,0.806,0.348,21,45,113,0.556,0.786,0.444,24,26,1,Pinnacle Sports,238,228.5,-100,230,5Dimes,19,228.5,-103,108.3,102.15,107.2833333,111.2666667,210.45,218.55,214.5,-8.100000000000023
11/9/2017,21700167,1610612758,1610612755,2017,109,0.43,0.607,0.444,29,45,108,0.425,0.704,0.405,23,56,1,Pinnacle Sports,238,208.0,-100,217,Heritage,169,208.0,-105,93.16666667,102.2666667,107.4107143,107.6160714,195.43333337,215.0267857,205.230059535,-19.59345232999999
11/9/2017,21700168,1610612743,1610612760,2017,102,0.463,0.773,0.333,27,45,94,0.422,0.5,0.367,16,44,1,Heritage,169,215.5,-105,196,Pinnacle Sports,238,215.5,-103,106.0873016,105.7619048,101.7261905,96.25,211.8492064,197.9761905,204.91269845,13.873015900000013
11/10/2017,21700169,1610612765,1610612737,2017,111,0.438,0.778,0.4,23,51,104,0.494,0.727,0.333,28,45,1,5Dimes,19,209.5,-103,215,Pinnacle Sports,238,209.5,-100,104.7380952,102.2142857,101.0666667,107.0666667,206.9523809,208.1333334,207.54285715,-1.1809524999999894
11/10/2017,21700173,1610612759,1610612749,2017,87,0.425,0.909,0.31,23,43,94,0.461,0.5,0.278,27,47,0,Pinnacle Sports,238,204.5,102,181,5Dimes,19,204.0,-103,102.6984127,100.3174603,103.7142857,108.1428571,203.015873,211.85714280000002,207.4365079,-8.84126980000002
11/10/2017,21700171,1610612741,1610612754,2017,87,0.398,0.667,0.259,24,43,105,0.512,0.583,0.414,27,51,0,Pinnacle Sports,238,202.0,102,192,Bovada,999996,202.0,-105,96.58928571,103.7857143,108.25,107.8,200.37500001,216.05,208.212500005,-15.674999990000003
11/10/2017,21700170,1610612738,1610612766,2017,90,0.357,0.84,0.29,15,49,87,0.388,0.576,0.273,20,47,1,Pinnacle Sports,238,204.0,-103,177,Heritage,169,204.5,-105,104.6587302,94.5,104.5396825,104.9365079,199.15873019999998,209.4761904,204.3174603,-10.317460200000028
11/10/2017,21700174,1610612756,1610612753,2017,112,0.468,0.76,0.208,13,40,128,0.524,0.674,0.464,29,44,0,5Dimes,19,227.0,-103,240,Heritage,169,227.5,-105,105.5625,115.375,105.6597222,102.5694444,220.9375,208.22916659999999,214.5833333,12.708333400000015
11/10/2017,21700176,1610612757,1610612751,2017,97,0.421,0.818,0.348,17,51,101,0.429,0.579,0.316,25,49,0,5Dimes,19,218.5,-107,198,Pinnacle Sports,238,218.5,100,108.7857143,100.6746032,112.0982143,112.7678571,209.4603175,224.8660714,217.16319445,-15.405753900000008
11/10/2017,21700172,1610612760,1610612746,2017,120,0.513,0.725,0.423,23,40,111,0.464,0.7,0.4,13,46,1,5Dimes,19,210.0,-103,231,Pinnacle Sports,238,209.5,102,101.3958333,96.75,106.4411765,106.4852941,198.1458333,212.92647060000002,205.53615195,-14.780637300000024
11/10/2017,21700175,1610612762,1610612748,2017,74,0.338,0.864,0.238,12,40,84,0.39,0.778,0.4,10,48,0,Heritage,169,193.5,-105,158,Bovada,999996,194.0,-105,101.7708333,101.2083333,101.7361111,104.9652778,202.9791666,206.70138889999998,204.84027774999998,-3.72222229999997
11/11/2017,21700177,1610612764,1610612737,2017,113,0.538,0.786,0.292,22,42,94,0.41,0.706,0.424,19,32,1,Heritage,169,216.0,-105,207,5Dimes,19,216.5,-103,110.3482143,106.7857143,101.7666667,107.8166667,217.1339286,209.58333340000001,213.358631,7.550595199999975
11/11/2017,21700184,1610612744,1610612755,2017,135,0.585,0.962,0.519,31,39,114,0.468,0.7,0.429,30,38,1,Bovada,999996,231.0,-115,249,Pinnacle Sports,238,232.5,-105,118.7539683,108.0714286,107.3968254,107.5952381,226.8253969,214.9920635,220.90873019999998,11.833333399999987
11/11/2017,21700187,1610612762,1610612751,2017,114,0.482,0.84,0.379,19,44,106,0.461,0.744,0.304,13,41,1,Heritage,169,208.0,-105,220,Pinnacle Sports,238,208.5,-104,100.1666667,100.5277778,111.5625,111.625,200.69444449999997,223.1875,211.94097225,-22.493055500000025
11/11/2017,21700186,1610612756,1610612750,2017,118,0.535,0.667,0.385,21,46,110,0.406,0.8,0.2,16,47,1,5Dimes,19,231.5,-105,228,Heritage,169,232.0,-105,106.0,116.125,109.0,111.5625,222.125,220.5625,221.34375,1.5625
11/11/2017,21700185,1610612743,1610612753,2017,125,0.529,0.778,0.414,29,50,107,0.471,0.7,0.355,24,36,1,Pinnacle Sports,238,216.5,-107,232,Heritage,169,217.0,-105,105.9444444,105.2083333,106.8888889,103.0555556,211.1527777,209.9444445,210.54861110000002,1.2083331999999984
11/11/2017,21700183,1610612759,1610612741,2017,133,0.6,0.813,0.667,33,44,94,0.465,0.615,0.261,22,28,1,Pinnacle Sports,238,190.0,-101,227,Heritage,169,190.0,-105,101.6428571,99.97857143,96.3125,104.0625,201.62142853,200.375,200.998214265,1.2464285300000029
11/11/2017,21700182,1610612749,1610612747,2017,98,0.412,0.846,0.261,16,42,90,0.419,0.595,0.273,21,48,1,Heritage,169,217.5,-105,188,Bookmaker,93,218.5,-110,102.75,106.6071429,103.0833333,106.5833333,209.35714289999999,209.6666666,209.51190474999999,-0.30952370000002816
11/11/2017,21700181,1610612742,1610612739,2017,104,0.424,0.762,0.294,21,42,111,0.432,0.829,0.387,18,53,0,Heritage,169,214.0,-105,215,Pinnacle Sports,238,214.0,-103,100.3333333,104.0555556,107.4857143,111.7428571,204.3888889,219.2285714,211.80873015,-14.83968249999998
